artist_name,artist_mbid,artist_listeners,artist_playcount
$L Badmon,,243,1894
.Fuelh,,11411,22820
.ihaveaface,,95061,399129
.sinh,,121003,550282
Cocteau Twins,000fc734-b7e1-4a01-92d1-f544261b43f5,1569836,92806227
Slow Pulp,00505f51-68a8-45fc-b6d6-51be64751378,538544,10500820
Richard Hawley,006f0783-c5a0-458b-a9da-f8551f7ebe77,425312,7065433
NoPorn,00a66bc5-ea69-4ff5-a159-7b1a5bd2e3a9,39886,1094957
The Gap Band,00aab979-da36-4efd-9086-e409cda07f9c,468532,3116120
half•alive,00d0f0fa-a48c-416d-b4ff-25a290ce82d8,466740,15150637
Evian Christ,00f87745-6cd0-4e99-8173-d969f3d0eee1,72228,728381
Imagine Dragons,012151a8-0f9a-44c9-997f-ebd68b5389f9,3173497,181525501
Glass Beach,013b0e68-c89c-4d1f-bf48-95800b0ef5c0,409428,13012757
Bruno Major,01962e70-c4a6-440d-81c4-b5eb9de7b299,725129,17286296
Camila Cabello,01b8b5bf-06cb-45da-85fb-61ada72fcd69,1562496,76606812
Doismileoito,01d3159c-c221-4442-a381-10aa91a79e9d,7941,141192
Sufjan Stevens,01d3c51b-9b98-418a-8d8e-37f6fab59d8c,3073873,215107524
Deeb,01d880e1-81a6-4c66-8c2d-a115387925b0,100736,747704
Michael Christmas,0211a7f3-a769-4f36-aa8c-030e62ad6b18,53888,476332
Rob Cantor,02358117-01ea-4ede-b949-b6b93ad9f944,101559,1777773
20syl,02628cd8-ca14-4545-a0b4-96020b54692b,119050,1753671
Berg,02b3a9b0-a39d-4a16-a477-48cba270292f,51940,371736
Sens,02c0ff5d-b267-442c-9f39-8eb2c99daac1,12783,70921
Jav Cast,02d2257b-6bde-42bc-b53b-7541fdf334fd,43265,214172
Whitney Houston,0307edfc-437c-4b48-8700-80680e66a228,2508007,42807584
Action Bronson,031bc934-28c9-491a-8648-c078450187dc,618960,17455777
U.S. Girls,036912f5-c717-498d-8958-6058de17bb70,311380,6099944
Queen,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,5802691,308620092
Eric Lau,03abe2bb-1c64-4fe5-bd78-4de2ecebfcca,84232,858013
Elliott Smith,03ad1736-b7c9-412a-b442-82536d63a5c4,2399381,185987928
tomcbumpz,03df4206-21f4-4938-987f-f2868e75d2b6,331127,2811560
Brittany Howard,03eda2c4-a2b3-4a4e-9527-6791b0ed9d2d,260976,2893706
The Alchemist,03f3deb7-0419-4bf9-a1e7-511946385717,988228,27136622
Shakka,03f67ecf-b6b5-4e45-91ff-44fcaebc1bf0,231420,1944942
Herbie Mann,04271c28-b9a7-4724-b7fd-022409fbce60,179521,1142994
Thundercat,044fd265-79dd-43eb-afc4-8b20becf7e17,1441902,49997885
Kelela,045494aa-e913-4e62-bf4e-dcc276e0075a,459255,21695743
Ibrahim,0455fa93-c1dc-43bb-b1ce-fc5f9128ede5,116839,1027363
Jahari Massamba Unit,0484fabd-f28c-42f7-96da-eed13f032387,24926,180371
Kate NV,04ac4914-e6f3-4851-90e7-1d7c4e5b78cf,80047,932630
Cascada,04af2581-6692-4f14-a7fe-151a36f20368,1664880,27763992
Color Plus,04ba6c6c-5e2d-46f7-b89f-7e3ba7fbdc1c,10255,67329
Modjo,04bac789-bf59-4383-8ad7-799d20d969f7,960039,9005399
Traffik Island,04d9dc2d-cdd0-4f41-9092-88f82cd7fc34,33951,225879
Joyce Wrice,04fa0b75-c2fa-4fdd-9f0e-8c62f221ba8f,172668,2331601
Circa Waves,050fffd7-c7cc-4bb2-8f7a-a0ee4bc47678,514737,8006266
Daft Punk,056e4f3e-d505-4dad-8ec1-d04f521cbb56,5151470,299307737
Cat Power,05755bf1-380c-487f-983f-d1a02401fa28,1975473,73407012
Nagasaki Swim,05b45420-c1f7-4f65-8d1d-84095b100723,4296,28076
pelados,05cc6cf2-539a-4c8b-9a47-e8a7dc3dc6f5,28126,452640
Ghais Guevara,060e8048-a944-46c8-9cdc-3143b0f96bad,76000,2319086
Keith Jarrett,061c4920-3ea6-4835-98f6-02f3b82f5e3a,550623,8827131
squid ethics,062b3102-1e6b-41e4-b0be-061e89c354af,18230,59852
Snooze,0636bb22-1bc9-44aa-bebf-fab6f3754e6a,64151,421609
Aries,0658689a-c5a7-4c60-83e5-e780644d20b0,373759,19217121
Morcheeba,067102ea-9519-4622-9077-57ca4164cfbb,1482815,44486240
Marissa Nadler,06ae569e-0b5b-4cd7-aded-98c3ad743ca3,388215,7307985
Juliana Gattas,06c12dbb-9250-4421-a44a-9dcdae3b8be1,10896,235810
Disq,06ebbe09-da8e-42dc-92fc-68b4ff2dd256,42130,375922
Farid Bang,06eceb73-b79e-4f93-9709-d72782a4a916,85166,3218894
Jimi Hendrix,06fb1c8b-566e-4cb2-985b-b467c90781d4,3525537,107017677
Prince,070d193a-845c-479f-980e-bef15710653e,2484129,71878834
Bring Me the Horizon,074e3847-f67f-49f9-81f1-8c8cea147e8e,2090044,194960243
6LACK,07832b42-8826-4ab1-acd3-c49a2f595ffe,767590,28371673
Haruomi Hosono,078be324-de92-4c72-9371-65bdcf324154,232350,2769412
Ty Segall,07a17571-81fc-4cf8-a634-98f0d926d313,458944,17357804
Timmy Trumpet,07aceecf-0fa2-4d51-865f-273313cba931,415834,5856537
The Game,07cc14fb-4784-4a25-804b-2686ed5ef52c,2742837,44131267
Two Feet,07d0e0b3-dea4-4892-bee7-eaad19d093ec,793588,15514788
DJ Khaled,081a2d60-9791-4e05-a075-f1890355eeee,2299802,43363286
Loyle Carner,09589937-20f0-40f8-a473-b22a0bac9ce5,388196,13744545
League of Legends,0976dbd8-e7fe-4161-9a49-58c57f7a7787,820793,34707238
moody.,0979844f-0258-4a41-8649-83ec2245cf49,60614,194871
The All-American Rejects,09885b8e-f235-4b80-a02a-055539493173,2616220,59898666
Carly Rae Jepsen,09887aa7-226e-4ecc-9a0c-02d2ae5777e1,2208581,113750160
Gia Margaret,098dea79-7258-427f-af67-5626a6f38965,196571,2391281
Fat Dog,09a2a320-a647-4c30-95b4-4142172b4aac,51032,573309
Zack Fox,09a91c31-d6fb-4356-9d2f-ca9c8ce6de37,310430,6458361
Mid-Air Thief,09d6b33f-6bdf-4441-8334-200696ad98e0,237164,5635801
Sleaford Mods,09d8290b-6ada-422f-8ce3-19349fb1c15d,166140,4508397
Linearwave,0a504921-96ed-4867-bcac-9b49be5ef793,250426,1946470
Vansire,0a7920d5-135b-4bca-885c-ebd79f0d5d9f,1097113,20919131
Farazi,0a816f8b-24bd-4898-a872-38c8ef9514a4,45248,1042203
Maroon 5,0ab49580-c84f-44d4-875f-d83760ea2cfe,5207940,187521486
Bugseed,0ac8acec-5828-449d-8dbe-9d7a1293673a,123536,1075522
Trinidad Cardona,0b0d11f2-3358-4838-b521-04de4291ac45,261683,2530175
Bruiser Wolf,0b19fa34-ca87-4999-abe6-a1515ae46c42,27975,415478
Lil Nas X,0b30341b-b59d-4979-8130-b66c0e475321,2010519,93618059
Rui Reininho,0b3bdee1-e1ea-4542-889a-c435b99ad234,2252,18774
Hailu Mergia,0b40d946-2362-4445-90f6-a3a5f333bd30,153267,1777898
Witt Lowry,0b4ce616-79c3-471c-9792-1b8767eca03a,220499,5293545
Omar Apollo,0b966a38-5ad9-43c1-b86b-c07079523165,1027412,39073575
Twista,0bc858a1-3573-4216-9423-c96dd8c72919,1231719,11147504
Greta Van Fleet,0be22557-d8c7-4706-a531-625c4c570162,589708,22108179
Paulo Gonzo,0bed69b8-e010-462f-8616-3dd1fa11f666,17037,135672
Classificados,0c17f718-de70-43ae-b987-97a53f7c7be8,653,7035
Kara Jackson,0c3fe1fa-edd0-471c-b6a1-87472da86167,68176,989883
cocabona,0c60cfb6-69d8-4159-b413-b89da0c52fed,120842,535788
Animal Collective,0c751690-c784-4a4f-b1e4-c1de27d47581,1605030,100192961
Fiji Blue,0d36c13c-eb19-4052-be39-c47965d45c65,251880,4165679
SONN,0d690bef-b62b-4f1b-a081-0340377d3417,100879,430402
Jonas Langer,0dd814a1-520e-49f4-b69e-6f34d178b2a8,17010,52795
FOREIGN FOREST,0e594664-a1ba-44cf-b605-cd1e8519cde1,39002,722568
Ian Ewing,0e620ca7-a47e-45ec-9c20-0ab274db14c1,155860,1152159
CHAI,0e84b561-5a1b-460d-bd14-35dad2abcc08,173579,2258101
Alex Cameron,0eabad49-1814-453a-8555-8a21edfbf0f4,166600,4174165
Sunflowers,0eca3ae5-0020-4011-a505-86ec487cd328,17323,131322
Ibibio Sound Machine,0ece139d-19a4-44c6-85e6-0406e8055a21,90983,884754
Johnny Nash,0efaa6e3-3ef1-4481-bc01-aa3d5901dbdc,391157,1991480
Angelo De Augustine,0f0ce7aa-bc8d-4af6-9861-8d98b3311dd8,234847,2752738
SAINt JHN,0f16ba6c-1874-42b9-b7a6-e060c2be454e,783051,17336817
Wünsche,0f59fb88-17f5-477f-8a36-503db73a99de,55302,336019
EU.CLIDES,0f648783-5626-4c38-8e29-23f520245e26,8872,155041
Car Seat Headrest,0fabbc1d-8d94-4a61-bd1d-1099ad1e4559,955271,102549982
Jebroer,0fc3ed5c-eeb7-45b4-b222-132dae4834ef,79977,1301974
24kGoldn,0fe5df51-ba65-4784-ba85-7d024a107a8a,895037,18073181
Ameer Vann,10299fc6-ace5-4c3c-bec9-0e12dd141d9e,197444,3069056
